day,date,max_air_temp_syl,max_air_temp_khu,min_air_temp_syl,min_air_temp_khu,morning_water_temp_syl,afternoon_water_temp_syl,morning_water_temp_khu,afternoon_water_temp_khu,rainfall_syl,rainfall_khu
1,1/1/18,27.5,25.5,15.8,14.5,18.5,19,14,19.3,0,0
2,1/2/18,25.5,25.8,18.8,16,18,18.5,14,19.4,0,0
3,1/3/18,23.5,23.2,18.6,13.5,18,19.5,14.1,19.4,0.01,0
4,1/4/18,26,20.6,13.6,10,18.5,18,14.1,19.5,0,0
5,1/5/18,26.2,22.2,12.8,10,18,18.5,14.2,19.5,0,0
6,1/6/18,24.3,13.2,15.1,9.8,18.5,19,14.2,19.6,0,0
7,1/7/18,22.8,22,10.5,8.6,18,19,14.3,19.6,0,0
8,1/8/18,23.5,20.5,8.8,8.6,18.5,19.5,14.3,19.1,0,0
9,1/9/18,23.2,22.2,10.7,8,18.5,21,15.5,19.1,0,0
10,1/10/18,23.3,22.7,11.1,8.4,18,20,17.7,19,0,0
11,1/11/18,23.5,21,11.7,9.3,19,19.5,16.7,18.1,0,0
12,1/12/18,23.2,22.5,12.9,9,18.5,19.5,16.7,18.5,0,0
13,1/13/18,22,18.4,13,10.5,19,21,16.5,17.8,0,0
14,1/14/18,25.1,21.2,13.5,10.5,18.5,20.5,16.3,18,0,0
15,1/15/18,23.5,22.2,13.3,10,18.5,19.5,16.7,19,0,0
16,1/16/18,22,23.5,14.3,9.3,19,20,16.4,20,0,0
17,1/17/18,24.7,24.8,15,11.2,18.5,21,18.4,20.7,0,0
18,1/18/18,25.5,25.2,14.8,11.5,18.5,21.5,19.7,20.9,0,0
19,1/19/18,26.5,25.8,14.6,11.2,19,23.5,18.8,21.2,0,0
20,1/20/18,25.5,24.5,13.8,11,19,24,18.8,21.6,0,0
21,1/21/18,27,25.2,14.3,11.2,19.5,24.5,19.2,21.8,0,0
22,1/22/18,27.4,25,15.2,11,19.5,22,19.5,22.2,0,0
23,1/23/18,28,26.6,15.4,12.5,19.5,22.3,19.2,22.4,0,0
24,1/24/18,27.2,27.6,15.2,10.5,19,23.7,19.6,22.5,0,0
25,1/25/18,25.5,26.5,15.3,15.5,20,23,18.8,23.5,0,0
26,1/26/18,26.3,26.5,14.5,12,20.5,21.7,20.4,21.5,0,0
27,1/27/18,25,23.8,11.9,12.5,21,21.5,19.3,22.2,0,0
28,1/28/18,23.8,25,9.7,10.5,21,21.7,19.8,22.2,0,0
29,1/29/18,23.8,26.5,10.5,11.5,22,21.7,20,21.4,0,0
30,1/30/18,24,26.2,11.7,12,21,22,18,22.6,0,0
31,1/31/18,23.7,27.2,11.5,12.4,21.5,21.5,18,22.6,0,0
32,2/1/18,24.2,26.5,14,13.5,20,23,20.5,22.6,0,0
33,2/2/18,25,27.5,15,13.6,20,22,21,22.8,0,0
34,2/3/18,24.9,28.7,14.8,13.5,21,21,21.5,23.5,0,0
35,2/4/18,26,30.1,15.5,15.2,21,22,21.5,24.7,0,0
36,2/5/18,27.9,29,16.7,19.6,21,23,22,25.5,0,0
37,2/6/18,26.1,29.5,16.9,19.5,20,21,22,25.3,0,0
38,2/7/18,26.2,30.8,17.9,16.7,21,23,23,25.5,0,0
39,2/8/18,26.3,27.2,17.2,18.2,23,22,23.7,24.6,0,0
40,2/9/18,27.2,30,14.2,15.5,22,24,22.3,24.7,0,0
41,2/10/18,28.2,28,16.5,19.5,22,24,23,24.4,0,0
42,2/11/18,29.5,28.5,15.3,17.5,22,24,23.3,24.8,0,0
43,2/12/18,31.3,30,15.2,14.7,22,24,21.9,24.1,0,0
44,2/13/18,30.2,29.4,15.4,16.5,22.5,24,21.8,23.5,0,0
45,2/14/18,27.6,29.5,16.5,16.6,23,23,21.8,24.4,0,0
46,2/15/18,28.2,28,15.5,16.8,22.9,25,22.8,25.5,0,0
47,2/16/18,30.5,28,14.7,13,23,25,21.9,24.8,0,0
48,2/17/18,29.2,29,15.3,14.5,23,26,21.8,24.4,0,0
49,2/18/18,29.2,30.2,15.7,15.8,23,26,22.6,25.1,0,0
50,2/19/18,29.7,31.3,16.6,16.8,23,26,23.2,25.7,0,0
51,2/20/18,30,30.5,15.9,18,23,26,23.5,25.3,0,0
52,2/21/18,30.9,31.5,17,17.8,24,26.8,23.6,26,0,0
53,2/22/18,30.1,31,13.9,19.2,24,26.9,24.1,26.3,0,0
54,2/23/18,30.4,32.5,18.1,19.2,24,26.9,24.9,28.2,21,0
55,2/24/18,30.6,33.5,18.5,21.5,24.5,26.9,25.3,28.9,0,0
56,2/25/18,31.8,34.2,18.5,21,25,26.8,26.1,29,14,0
57,2/26/18,26.8,32.5,18,21,23,26.6,25.4,27.4,4,0
58,2/27/18,29.1,32.5,17.9,20.5,25,27,25.4,27.9,0,0
59,2/28/18,31,31.5,17.8,21.8,25.4,27.5,26.9,29.1,0,0
60,3/1/18,31.2,32,18.5,21.2,24,27.8,26.9,28.5,0,0
61,3/2/18,31.2,33.5,19,20,25.5,28.8,26.8,29.4,0,0
62,3/3/18,30.9,34,20.4,22.5,25.5,28.2,27.1,29.8,0,0
63,3/4/18,32.3,36,20.8,22.7,26,29.8,27.9,29.6,0,0
64,3/5/18,29.6,34.5,21.6,23.5,26.6,29.8,28.2,30.2,0,0
65,3/6/18,32.2,33.5,21.6,22.5,27,30,27.7,30.2,0,0
66,3/7/18,32.6,32.5,18.5,19.8,26.4,29,27.8,29.8,0,0
67,3/8/18,32.9,32.2,17.8,16.8,25.9,30,25.6,27.6,0,0
68,3/9/18,33.7,32.3,17.8,17.2,25.5,31,25.1,27.7,0,0
69,3/10/18,32,33,17.8,18.5,25.5,29.8,25.2,27.9,0,0
70,3/11/18,32.1,34.5,18.1,17.5,25,29.5,25.7,29.1,0,0
71,3/12/18,32,34.2,18.5,21,25.8,29.5,26.6,29.8,0,0
72,3/13/18,22.6,33.6,20.4,22.5,26.9,29.4,26.7,29.4,0.01,0
73,3/14/18,29.5,35.8,17.4,21,25.7,28.3,27.4,30.8,0,0
74,3/15/18,31,33.7,21,23,26.5,30,27.7,29.6,5,0.01
75,3/16/18,30,31.5,19.7,24.5,26.6,30,28.8,30.9,11,0
76,3/17/18,31.7,33.7,20.6,23.6,26.8,30,27.4,30.1,0.01,0
77,3/18/18,31,34.5,19.5,21.2,26.9,29,27,29.8,0,0
78,3/19/18,32.5,35.2,19.2,23,26.8,29.5,28.2,30.9,0,0
79,3/20/18,33.9,35.2,19.2,19,25.5,28,27.7,30.7,0,0
80,3/21/18,33.7,33.7,20,22,25.8,26.9,28.4,30.4,0,0
81,3/22/18,33.8,34.5,20.2,23.6,26,29,27.1,31.2,0,0
82,3/23/18,31.7,33.2,20.3,22.4,27.1,30.5,27.8,30.9,0.01,0
83,3/24/18,32.8,33.2,21.4,24.6,27,30.9,28,30.1,0,0
84,3/25/18,34.3,34.8,21.2,20.5,25.5,29.5,29.4,30.9,0,0
85,3/26/18,32,33.2,21.3,24,24.5,30,29.1,32,25,0
86,3/27/18,30.1,34.2,20.1,25.5,26.9,29.5,28.7,32.2,0,0
87,3/28/18,32.2,34.6,20.6,24.2,28,31.2,28.8,33.4,9,0
88,3/29/18,32.3,34.5,20.1,24,26.5,29,28.4,33.2,21,0
89,3/30/18,32,34,16.9,24.6,26,28.5,28.6,32.9,23,0
90,3/31/18,27,30.5,18,20.4,26.5,28,27.2,31.2,1,1
91,4/1/18,34,34.2,19.6,19.4,26,28.5,26.6,29.7,0,0
92,4/2/18,33,29.5,20.8,20.5,26,27,26.4,30.2,0,0
93,4/3/18,34.1,33.5,22.8,21.2,27,29,25.4,29.8,0,0
94,4/4/18,32.8,34.5,20.9,21.6,26,28,26.5,29.4,0,0
95,4/5/18,33.8,34,22.3,22.5,26.5,28,27.6,30.1,10,3
96,4/6/18,27,34.7,20,20.8,25.5,27,28,29.4,4,0.01
97,4/7/18,33.1,33.5,20.8,24.5,27,28.5,27.8,30.6,0.01,13
98,4/8/18,30,32.8,23.3,20.5,26,27,26.6,31.6,1,0
99,4/9/18,33.2,34,21.4,23,27.5,29,27.8,31.4,51,1
100,4/10/18,28.8,33.5,19.5,21.5,26.5,28,27.5,30.8,14,0
101,4/11/18,29,33.5,21.4,24,22,24,27.3,33.6,17,3
102,4/12/18,32.4,34.2,20.5,20.2,23,28.9,27.2,33.1,1,26
103,4/13/18,33.7,34,21.5,20.8,23.4,28.8,27.4,32,0,0
104,4/14/18,28.5,36.2,19,25.5,23.4,28.6,27.6,32.8,29,5
105,4/15/18,34,35.5,22,22,25.6,27.7,28.8,32.1,0,0
106,4/16/18,34.5,37.2,21.9,24.5,25.7,27.7,28.5,34.3,0,0
107,4/17/18,30.4,36.4,22.1,25.6,24.4,27.6,31.4,30.2,0,6
108,4/18/18,32.2,33.9,21.2,21.5,27,27.5,30.6,33.6,28,0
109,4/19/18,28.6,35.5,21.3,25.5,26.5,27,29.6,32.8,15,0
110,4/20/18,28,36,21.4,26.8,25.8,25.5,29.5,33.7,56,0
111,4/21/18,26.7,35,21.1,27,26,25.5,30.8,34.4,36,1
112,4/22/18,17.8,35.5,21.4,24.4,27,28,30.2,32.3,14,0.01
113,4/23/18,34.5,35.8,22.5,23.8,27,27.5,29.8,33.8,0,0
114,4/24/18,32.5,35.5,19.4,24.2,25,28,29.5,34.2,17,0
115,4/25/18,32.8,35,20,25.5,23,26,29.9,33.7,0.01,0
116,4/26/18,30.7,34.2,21.5,22.5,22,27.3,28.8,32,0,4
117,4/27/18,30.5,35,22,21.5,23.2,27.6,29,32.4,2,0
118,4/28/18,33.6,35.7,20.5,25,23.5,27.4,29.2,32.8,8,0
119,4/29/18,26.6,33.8,20.5,25.5,23.5,27.4,29.7,32.9,18,1
120,4/30/18,22.5,33,20.5,23.6,23.4,27.4,28.9,33,72,19
121,5/1/18,27,33,19.3,20.5,24.5,28.1,27.1,33.5,0.01,0
122,5/2/18,29.5,35.2,21.9,23.5,24,27.4,28.1,34,2,1
123,5/3/18,33.3,33.2,20.6,21.5,24,27.3,27.7,34.5,0,0
124,5/4/18,27.5,35.2,22.8,24.3,23.1,26.4,29.5,34.6,26,0
125,5/5/18,26.9,35.5,21.1,26,22.7,26,29.5,34.8,7,23
126,5/6/18,30.5,34.5,22.5,23.5,22.1,26,29.6,34.4,63,0
127,5/7/18,27.3,33.5,22,27.5,22,25.4,30,32.8,17,0
128,5/8/18,25.4,36.2,22,28.2,21.8,25,30.2,33.4,8,3
129,5/9/18,28.3,35,22.8,24,21.7,24.7,29.9,32.6,18,0
130,5/10/18,35.2,33.7,19.8,27.7,21.4,23.4,29.6,31,39,13
131,5/11/18,28.1,36.2,19.5,23.5,21,23,29.4,31,2,10
132,5/12/18,31.3,34.5,19.5,21,21,23,28.2,31.7,0,1
133,5/13/18,33.4,27.5,22.1,24.5,20.7,22.7,29.3,29.8,0,22
134,5/14/18,32,34.2,22.6,22,20.4,22.5,28.6,30.9,0.01,0
135,5/15/18,32.3,34.6,23.8,24.8,20.4,22.4,29.2,31.2,38,0
136,5/16/18,30.4,25.6,21,21,20.4,22.4,29,28.1,0,59
137,5/17/18,30,33.7,22.6,21,22.7,26,28.5,30.4,0.01,0
138,5/18/18,28.8,32,24,26.5,24,27,28.5,29.2,0.01,51
139,5/19/18,32.8,34,23.8,22.4,25,26.5,28.1,31.9,0,0
140,5/20/18,33,31.2,23.8,26.8,24,26,28.8,32,0,26
141,5/21/18,30.5,33,23.7,23.8,25,26,28.9,32.1,55,0
142,5/22/18,32.7,34.5,24,27.5,24,26.4,29,32.1,28,8
143,5/23/18,35,33.3,24.9,25.2,25,25.5,29.2,32.2,6,0.01
144,5/24/18,25,26,25,26,28,29.5,29.5,32.2,49,0
145,5/25/18,26.3,35.2,23,27.2,27,28,28.9,31.6,98,0
146,5/26/18,33.1,36,22.1,26.8,28.5,29,31,32.7,27,0
147,5/27/18,33.9,36.5,24.3,27.3,30,31,32,33.2,0,0
148,5/28/18,33.2,35.7,23.2,27,31,32.5,32.7,32.8,16,0
149,5/29/18,34,34.5,23,27.5,31,32,31.5,34.2,0,0
150,5/30/18,35.4,36.7,25,27.2,31,32,31,33.1,13,0
151,5/31/18,29.5,34.5,24.5,28.8,31,32,30.5,32.6,7,1
152,6/1/18,34,34,24.5,26,28,31,30.6,31.3,0,12
153,6/2/18,35,35.5,26,25.5,28.5,30,29.8,31.8,44,0
154,6/3/18,34,34.8,24.5,27,29,32,30,31.5,53,5
155,6/4/18,34.8,35.8,25,26.5,29,31,30.9,32.1,0.01,0
156,6/5/18,35,34.7,25.5,27,28.5,32,31.2,33.4,3,0
157,6/6/18,34,35.5,23.5,27,27.5,31,30.8,33.9,3,1
