-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2017 through 12/31/2019 
Location: Latitude  24.3   Longitude 91.7333 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 58.66 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M
24.30001,91.73331,2017,01,01,   80.84
24.30001,91.73331,2017,01,02,   76.14
24.30001,91.73331,2017,01,03,   76.62
24.30001,91.73331,2017,01,04,   78.31
24.30001,91.73331,2017,01,05,   76.39
24.30001,91.73331,2017,01,06,   71.08
24.30001,91.73331,2017,01,07,   69.93
24.30001,91.73331,2017,01,08,   69.24
24.30001,91.73331,2017,01,09,   66.47
24.30001,91.73331,2017,01,10,   69.59
24.30001,91.73331,2017,01,11,   73.17
24.30001,91.73331,2017,01,12,   69.18
24.30001,91.73331,2017,01,13,   67.31
24.30001,91.73331,2017,01,14,   61.74
24.30001,91.73331,2017,01,15,   65.81
24.30001,91.73331,2017,01,16,   67.08
24.30001,91.73331,2017,01,17,   59.49
24.30001,91.73331,2017,01,18,   58.48
24.30001,91.73331,2017,01,19,   62.87
24.30001,91.73331,2017,01,20,   58.83
24.30001,91.73331,2017,01,21,   59.00
24.30001,91.73331,2017,01,22,   62.32
24.30001,91.73331,2017,01,23,   65.04
24.30001,91.73331,2017,01,24,   62.39
24.30001,91.73331,2017,01,25,   62.11
24.30001,91.73331,2017,01,26,   60.56
24.30001,91.73331,2017,01,27,   68.92
24.30001,91.73331,2017,01,28,   72.25
24.30001,91.73331,2017,01,29,   68.40
24.30001,91.73331,2017,01,30,   67.89
24.30001,91.73331,2017,01,31,   66.03
24.30001,91.73331,2017,02,01,   60.36
24.30001,91.73331,2017,02,02,   60.64
24.30001,91.73331,2017,02,03,   58.93
24.30001,91.73331,2017,02,04,   61.88
24.30001,91.73331,2017,02,05,   59.88
24.30001,91.73331,2017,02,06,   62.36
24.30001,91.73331,2017,02,07,   64.91
24.30001,91.73331,2017,02,08,   56.18
24.30001,91.73331,2017,02,09,   52.27
24.30001,91.73331,2017,02,10,   50.97
24.30001,91.73331,2017,02,11,   52.90
24.30001,91.73331,2017,02,12,   55.63
24.30001,91.73331,2017,02,13,   52.28
24.30001,91.73331,2017,02,14,   53.39
24.30001,91.73331,2017,02,15,   54.34
24.30001,91.73331,2017,02,16,   53.85
24.30001,91.73331,2017,02,17,   52.83
24.30001,91.73331,2017,02,18,   53.38
24.30001,91.73331,2017,02,19,   58.39
24.30001,91.73331,2017,02,20,   70.24
24.30001,91.73331,2017,02,21,   78.39
24.30001,91.73331,2017,02,22,   75.93
24.30001,91.73331,2017,02,23,   80.59
24.30001,91.73331,2017,02,24,   53.76
24.30001,91.73331,2017,02,25,   40.82
24.30001,91.73331,2017,02,26,   37.55
24.30001,91.73331,2017,02,27,   47.59
24.30001,91.73331,2017,02,28,   47.64
24.30001,91.73331,2017,03,01,   47.16
24.30001,91.73331,2017,03,02,   49.78
24.30001,91.73331,2017,03,03,   61.63
24.30001,91.73331,2017,03,04,   62.76
24.30001,91.73331,2017,03,05,   69.25
24.30001,91.73331,2017,03,06,   78.48
24.30001,91.73331,2017,03,07,   66.50
24.30001,91.73331,2017,03,08,   62.89
24.30001,91.73331,2017,03,09,   71.41
24.30001,91.73331,2017,03,10,   76.70
24.30001,91.73331,2017,03,11,   91.11
24.30001,91.73331,2017,03,12,   76.76
24.30001,91.73331,2017,03,13,   55.02
24.30001,91.73331,2017,03,14,   46.42
24.30001,91.73331,2017,03,15,   49.94
24.30001,91.73331,2017,03,16,   49.57
24.30001,91.73331,2017,03,17,   54.39
24.30001,91.73331,2017,03,18,   72.34
24.30001,91.73331,2017,03,19,   66.86
24.30001,91.73331,2017,03,20,   79.16
24.30001,91.73331,2017,03,21,   66.75
24.30001,91.73331,2017,03,22,   62.31
24.30001,91.73331,2017,03,23,   61.78
24.30001,91.73331,2017,03,24,   69.97
24.30001,91.73331,2017,03,25,   83.49
24.30001,91.73331,2017,03,26,   74.36
24.30001,91.73331,2017,03,27,   77.72
24.30001,91.73331,2017,03,28,   79.60
24.30001,91.73331,2017,03,29,   84.71
24.30001,91.73331,2017,03,30,   85.35
24.30001,91.73331,2017,03,31,   86.65
24.30001,91.73331,2017,04,01,   86.38
24.30001,91.73331,2017,04,02,   85.26
24.30001,91.73331,2017,04,03,   89.47
24.30001,91.73331,2017,04,04,   88.56
24.30001,91.73331,2017,04,05,   88.79
24.30001,91.73331,2017,04,06,   81.92
24.30001,91.73331,2017,04,07,   87.05
24.30001,91.73331,2017,04,08,   87.61
24.30001,91.73331,2017,04,09,   85.72
24.30001,91.73331,2017,04,10,   83.70
24.30001,91.73331,2017,04,11,   74.84
24.30001,91.73331,2017,04,12,   68.97
24.30001,91.73331,2017,04,13,   68.48
24.30001,91.73331,2017,04,14,   76.60
24.30001,91.73331,2017,04,15,   82.27
24.30001,91.73331,2017,04,16,   82.69
24.30001,91.73331,2017,04,17,   74.92
24.30001,91.73331,2017,04,18,   82.55
24.30001,91.73331,2017,04,19,   90.33
24.30001,91.73331,2017,04,20,   90.77
24.30001,91.73331,2017,04,21,   95.54
24.30001,91.73331,2017,04,22,   93.11
24.30001,91.73331,2017,04,23,   91.23
24.30001,91.73331,2017,04,24,   90.38
24.30001,91.73331,2017,04,25,   90.28
24.30001,91.73331,2017,04,26,   90.59
24.30001,91.73331,2017,04,27,   90.63
24.30001,91.73331,2017,04,28,   89.20
24.30001,91.73331,2017,04,29,   87.68
24.30001,91.73331,2017,04,30,   89.82
24.30001,91.73331,2017,05,01,   92.34
24.30001,91.73331,2017,05,02,   85.13
24.30001,91.73331,2017,05,03,   78.65
24.30001,91.73331,2017,05,04,   82.52
24.30001,91.73331,2017,05,05,   87.96
24.30001,91.73331,2017,05,06,   87.19
24.30001,91.73331,2017,05,07,   86.71
24.30001,91.73331,2017,05,08,   87.85
24.30001,91.73331,2017,05,09,   90.11
24.30001,91.73331,2017,05,10,   81.54
24.30001,91.73331,2017,05,11,   80.57
24.30001,91.73331,2017,05,12,   80.18
24.30001,91.73331,2017,05,13,   83.09
24.30001,91.73331,2017,05,14,   85.07
24.30001,91.73331,2017,05,15,   89.12
24.30001,91.73331,2017,05,16,   88.64
24.30001,91.73331,2017,05,17,   86.24
24.30001,91.73331,2017,05,18,   87.47
24.30001,91.73331,2017,05,19,   90.17
