day,year,district,wind_speed_2m,min_temp,max_temp,WS2M,month,SRAD_24,SRAD_1000,SRAD_14,SRAD_MJ/m2day,SRAD00,SRAD03,SRAD06,SRAD09,SRAD12,SRAD15,SRAD18,SRAD21,0
1,2018,khulna,0.730033047,12.7,24.45,1.17,1,340.0,8160,582.8571429,8.16,0,0,58.751999999999995,1819.68,3815.616,2348.448,117.50399999999999,0,14.374884626783196
2,2018,khulna,0.7829152640000001,13.68,22.95,1.31,1,540.4166667000001,12970,926.4285714,12.97,0,0,93.384,2892.31,6064.772,3732.7659999999996,186.768,0,15.264188151265765
3,2018,khulna,0.806346163,10.08,23.47,1.75,1,611.25,14670,1047.857143,14.67,0,0,105.624,3271.41,6859.691999999999,4222.026,211.248,0,16.10789449918562
4,2018,khulna,0.731865785,8.39,20.97,1.55,1,600.4166667000001,14410,1029.285714,14.41,0,0,103.75200000000001,3213.43,6738.116,4147.198,207.50400000000002,0,16.528897747464544
5,2018,khulna,0.769240322,7.02,20.96,1.6,1,609.1666667000001,14620,1044.285714,14.62,0,0,105.264,3260.26,6836.312,4207.6359999999995,210.528,0,16.94546757247827
6,2018,khulna,0.870505023,6.98,22.27,1.54,1,623.75,14970,1069.285714,14.97,0,0,107.78399999999999,3338.31,6999.972,4308.366,215.56799999999998,0,17.365406486789286
7,2018,khulna,0.747823081,7.51,21.61,1.55,1,633.75,15210,1086.4285710000001,15.21,0,0,109.512,3391.83,7112.196,4377.438,219.024,0,17.683230042047782
8,2018,khulna,0.78884175,8.03,20.76,1.36,1,617.0833332999999,14810,1057.857143,14.81,0,0,106.632,3302.63,6925.156,4262.318,213.264,0,17.92227964368448
9,2018,khulna,0.8511143059999999,6.35,20.39,1.48,1,641.6666667000001,15400,1100.0,15.4,0,0,110.88,3434.2,7201.04,4432.12,221.76,0,18.175127414278965
10,2018,khulna,0.818109037,5.76,21.08,1.4,1,645.0,15480,1105.714286,15.48,0,0,111.456,3452.04,7238.448,4455.144,222.912,0,18.456824822123394
11,2018,khulna,0.6925468159999999,7.48,20.2,1.27,1,620.4166667000001,14890,1063.5714289999999,14.89,0,0,107.208,3320.47,6962.564,4285.342000000001,214.416,0,18.70732774675236
12,2018,khulna,0.727992028,8.52,21.6,1.05,1,620.8333332999999,14900,1064.285714,14.9,0,0,107.28,3322.7,6967.24,4288.22,214.56,0,18.924490300446152
13,2018,khulna,0.706793467,9.18,21.17,1.0,1,545.0,13080,934.2857142999999,13.08,0,0,94.176,2916.84,6116.2080000000005,3764.4240000000004,188.352,0,18.97420847349412
14,2018,khulna,0.863168718,9.3,21.69,1.39,1,593.75,14250,1017.857143,14.25,0,0,102.6,3177.75,6663.3,4101.15,205.2,0,19.181219249010336
15,2018,khulna,0.842351423,7.91,22.6,1.41,1,603.75,14490,1035.0,14.49,0,0,104.32799999999999,3231.27,6775.524,4170.222,208.65599999999998,0,19.363194360854575
16,2018,khulna,0.7079431909999999,8.96,23.28,1.47,1,640.0,15360,1097.142857,15.36,0,0,110.59200000000001,3425.28,7182.335999999999,4420.608,221.18400000000003,0,19.59940567583142
17,2018,khulna,0.682403313,9.44,23.47,1.48,1,647.0833332999999,15530,1109.285714,15.53,0,0,111.816,3463.19,7261.828,4469.534000000001,223.632,0,20.00665822729344
