YEAR,MO,DAY,HR,T2M,SRAD,WS2M,RH2M
2017,1,1,0,17.01,0,0.94,78.19
2017,1,1,1,16.39,0,1,81.25
2017,1,1,2,15.92,0,1.03,84.19
2017,1,1,3,15.5,0,1.03,87.25
2017,1,1,4,15.13,0,1.01,90.06
2017,1,1,5,14.83,0,0.99,92.69
2017,1,1,6,14.6,0,0.98,94.88
2017,1,1,7,15.98,77.42,0.9,91.69
2017,1,1,8,18.11,224.65,1.36,82.19
2017,1,1,9,20.82,379.41,0.96,73.19
2017,1,1,10,24.19,568.79,1.21,57.06
2017,1,1,11,25.34,599.42,1.57,52.5
2017,1,1,12,25.82,639.21,1.93,50.44
2017,1,1,13,26.08,558.83,2.19,49.19
2017,1,1,14,25.96,447.14,2.32,48.94
2017,1,1,15,25.19,274.95,2.05,52.69
2017,1,1,16,22.96,109.41,1.11,69.62
2017,1,1,17,20.26,8.66,1.08,73.69
2017,1,1,18,19.61,0,1.12,72.25
2017,1,1,19,19.35,0,1.08,70.56
2017,1,1,20,19.12,0,1,69.12
2017,1,1,21,18.67,0,0.96,69.56
2017,1,1,22,18.01,0,1,71.56
2017,1,1,23,17.32,0,1.04,73.94
2017,1,2,0,16.6,0,1.08,76.62
2017,1,2,1,15.8,0,1.13,80.25
2017,1,2,2,15.01,0,1.15,84.25
2017,1,2,3,14.38,0,1.14,87.88
2017,1,2,4,13.87,0,1.12,91.19
2017,1,2,5,13.47,0,1.1,94.31
2017,1,2,6,13.15,0,1.09,97.12
2017,1,2,7,14.95,70.84,1.01,91.5
2017,1,2,8,17.58,224.12,1.66,79.81
2017,1,2,9,20.37,386.17,1.12,71.88
2017,1,2,10,24.29,536.59,1.47,53.44
2017,1,2,11,25.56,625.41,1.83,48.19
2017,1,2,12,26.15,630.42,2.08,45.88
2017,1,2,13,26.44,573.92,2.23,44.5
2017,1,2,14,26.33,449.18,2.22,44.31
2017,1,2,15,25.61,280.39,1.89,47.75
2017,1,2,16,23.34,111.81,1.03,65.75
2017,1,2,17,20.57,9.16,1.08,69.06
2017,1,2,18,19.58,0,1.14,69.75
2017,1,2,19,18.8,0,1.14,71.44
2017,1,2,20,18.12,0,1.14,73.06
2017,1,2,21,17.61,0,1.12,73.94
2017,1,2,22,17.08,0,1.11,75.38
2017,1,2,23,16.25,0,1.14,78.88
2017,1,3,0,15.33,0,1.16,83.31
2017,1,3,1,14.65,0,1.16,86.69
2017,1,3,2,14.18,0,1.14,89.5
2017,1,3,3,13.8,0,1.11,92.12
2017,1,3,4,13.48,0,1.08,94.81
2017,1,3,5,13.19,0,1.06,97.5
2017,1,3,6,12.98,0,1.05,99.62
2017,1,3,7,15.04,72.98,1.31,91.12
2017,1,3,8,17.5,228.34,2,80.31
2017,1,3,9,20.61,389.09,1.75,70.5
2017,1,3,10,24.47,518.59,2.22,55.06
2017,1,3,11,25.77,607.84,2.54,50.94
2017,1,3,12,26.26,626.67,2.74,49.19
2017,1,3,13,26.53,596.55,2.86,47.81
2017,1,3,14,26.27,471.37,2.83,48.44
2017,1,3,15,25.42,298.25,2.36,53.25
2017,1,3,16,23.11,122.54,1.29,69.19
2017,1,3,17,20.26,9.83,1.15,76.88
2017,1,3,18,19.29,0,1.16,78.62
2017,1,3,19,18.61,0,1.16,80.19
2017,1,3,20,17.96,0,1.17,81.81
2017,1,3,21,17.44,0,1.14,82.94
2017,1,3,22,17.02,0,1.1,83.44
2017,1,3,23,16.57,0,1.09,84.19
2017,1,4,0,16.07,0,1.07,85.38
2017,1,4,1,15.48,0,1.07,87.38
2017,1,4,2,14.9,0,1.06,89.62
2017,1,4,3,14.33,0,1.07,92.06
2017,1,4,4,13.79,0,1.08,94.44
2017,1,4,5,13.33,0,1.1,96.38
2017,1,4,6,12.94,0,1.11,98
2017,1,4,7,14.88,73.85,1.68,89.19
2017,1,4,8,17.08,234.66,2.1,79.5
2017,1,4,9,20.05,401.82,1.75,70.12
2017,1,4,10,23.86,568.6,2.6,53.75
2017,1,4,11,25.21,620.14,2.57,50.06
2017,1,4,12,26,630.32,2.57,47.5
