time,day,area,year,air_temp
6,1,khulna,1982,282.008983
9,1,khulna,1982,285.7582123
12,1,khulna,1982,293.7116713
15,1,khulna,1982,297.461017
18,1,khulna,1982,294.8098854
21,1,khulna,1982,291.0605879
0,2,khulna,1982,288.4094603
3,2,khulna,1982,284.6601828
6,2,khulna,1982,281.8589264
9,2,khulna,1982,285.8168507
12,2,khulna,1982,294.2130265
15,2,khulna,1982,298.1710736
18,2,khulna,1982,295.3723709
21,2,khulna,1982,291.4143746
0,3,khulna,1982,288.6156763
3,3,khulna,1982,284.6577011
6,3,khulna,1982,283.5389962
9,3,khulna,1982,287.2396918
12,3,khulna,1982,295.0901934
15,3,khulna,1982,298.7910038
18,3,khulna,1982,296.1741911
21,3,khulna,1982,292.4734281
0,4,khulna,1982,289.8566194
3,4,khulna,1982,286.1558762
6,4,khulna,1982,284.2889942
9,4,khulna,1982,287.9969699
12,4,khulna,1982,295.8629151
15,4,khulna,1982,299.5710058
18,4,khulna,1982,296.9490452
21,4,khulna,1982,293.2410021
0,5,khulna,1982,290.6190456
3,5,khulna,1982,286.9110222
6,5,khulna,1982,285.6490317
9,5,khulna,1982,289.2186863
12,5,khulna,1982,296.7912029
15,5,khulna,1982,300.3609683
18,5,khulna,1982,297.8368164
21,5,khulna,1982,294.2670969
0,6,khulna,1982,291.742949
3,6,khulna,1982,288.1732485
6,6,khulna,1982,286.5390317
9,6,khulna,1982,290.1086863
12,6,khulna,1982,297.6812029
15,6,khulna,1982,301.2509683
18,6,khulna,1982,298.7268164
21,6,khulna,1982,295.1570969
0,7,khulna,1982,292.632949
3,7,khulna,1982,289.0632485
6,7,khulna,1982,288.6193358
9,7,khulna,1982,291.0678616
12,7,khulna,1982,296.2620624
15,7,khulna,1982,298.7106642
18,7,khulna,1982,296.9792779
21,7,khulna,1982,294.5307075
0,8,khulna,1982,292.7993239
3,8,khulna,1982,290.3507666
6,8,khulna,1982,285.9889593
9,8,khulna,1982,289.8255493
12,8,khulna,1982,297.9643316
15,8,khulna,1982,301.8010407
18,8,khulna,1982,299.0881351
21,8,khulna,1982,295.2514753
0,9,khulna,1982,292.538574
3,9,khulna,1982,288.7019346
6,9,khulna,1982,287.1090383
9,9,khulna,1982,290.654426
12,9,khulna,1982,298.1754639
15,9,khulna,1982,301.7209617
18,9,khulna,1982,299.2139693
21,9,khulna,1982,295.6685171
0,10,khulna,1982,293.1615285
3,10,khulna,1982,289.6160952
6,10,khulna,1982,288.3491087
9,10,khulna,1982,291.6348411
12,10,khulna,1982,298.6050569
15,10,khulna,1982,301.8908913
18,10,khulna,1982,299.5675047
21,10,khulna,1982,296.2817126
0,11,khulna,1982,293.9583296
3,11,khulna,1982,290.672555
6,11,khulna,1982,288.9191555
9,11,khulna,1982,292.0325931
12,11,khulna,1982,298.6373102
15,11,khulna,1982,301.7508445
18,11,khulna,1982,299.5492899
21,11,khulna,1982,296.4357956
0,12,khulna,1982,294.2342444
3,12,khulna,1982,291.1207667
6,12,khulna,1982,288.1390982
9,12,khulna,1982,291.4636575
12,12,khulna,1982,298.5162393
15,12,khulna,1982,301.8409018
18,12,khulna,1982,299.4900602
21,12,khulna,1982,296.1654404
0,13,khulna,1982,293.8146024
3,13,khulna,1982,290.4900003
6,13,khulna,1982,286.4790389
