LAT,LON,YEAR,MO,DY,RH2M,day
22.78331,89.53331,2017,1,1,71.9,1
22.78331,89.53331,2017,1,2,70.41,2
22.78331,89.53331,2017,1,3,75.19,3
22.78331,89.53331,2017,1,4,74.23,4
22.78331,89.53331,2017,1,5,68.98,5
22.78331,89.53331,2017,1,6,64.56,6
22.78331,89.53331,2017,1,7,60.75,7
22.78331,89.53331,2017,1,8,60.03,8
22.78331,89.53331,2017,1,9,64.91,9
22.78331,89.53331,2017,1,10,68.45,10
22.78331,89.53331,2017,1,11,75.96,11
22.78331,89.53331,2017,1,12,67.41,12
22.78331,89.53331,2017,1,13,62.94,13
22.78331,89.53331,2017,1,14,57.59,14
22.78331,89.53331,2017,1,15,59.59,15
22.78331,89.53331,2017,1,16,56.48,16
22.78331,89.53331,2017,1,17,56.35,17
22.78331,89.53331,2017,1,18,59.83,18
22.78331,89.53331,2017,1,19,63.6,19
22.78331,89.53331,2017,1,20,58.02,20
22.78331,89.53331,2017,1,21,57,21
22.78331,89.53331,2017,1,22,54.33,22
22.78331,89.53331,2017,1,23,54.14,23
22.78331,89.53331,2017,1,24,57.78,24
22.78331,89.53331,2017,1,25,57.57,25
22.78331,89.53331,2017,1,26,57.73,26
22.78331,89.53331,2017,1,27,60.92,27
22.78331,89.53331,2017,1,28,64.67,28
22.78331,89.53331,2017,1,29,58.21,29
22.78331,89.53331,2017,1,30,57.32,30
22.78331,89.53331,2017,1,31,56.88,31
22.78331,89.53331,2017,2,1,53.27,32
22.78331,89.53331,2017,2,2,58.33,33
22.78331,89.53331,2017,2,3,55.1,34
22.78331,89.53331,2017,2,4,53.22,35
22.78331,89.53331,2017,2,5,50.79,36
22.78331,89.53331,2017,2,6,51.38,37
22.78331,89.53331,2017,2,7,52.86,38
22.78331,89.53331,2017,2,8,44.64,39
22.78331,89.53331,2017,2,9,36.68,40
22.78331,89.53331,2017,2,10,42.34,41
22.78331,89.53331,2017,2,11,47.41,42
22.78331,89.53331,2017,2,12,47.83,43
22.78331,89.53331,2017,2,13,46.2,44
22.78331,89.53331,2017,2,14,48.94,45
22.78331,89.53331,2017,2,15,48.45,46
22.78331,89.53331,2017,2,16,40.66,47
22.78331,89.53331,2017,2,17,38.81,48
22.78331,89.53331,2017,2,18,42.51,49
22.78331,89.53331,2017,2,19,53.85,50
22.78331,89.53331,2017,2,20,64.01,51
22.78331,89.53331,2017,2,21,66.21,52
22.78331,89.53331,2017,2,22,64.34,53
22.78331,89.53331,2017,2,23,61.91,54
22.78331,89.53331,2017,2,24,33.53,55
22.78331,89.53331,2017,2,25,26.36,56
22.78331,89.53331,2017,2,26,29.05,57
22.78331,89.53331,2017,2,27,36.49,58
22.78331,89.53331,2017,2,28,31.12,59
22.78331,89.53331,2017,3,1,29.18,60
22.78331,89.53331,2017,3,2,39.43,61
22.78331,89.53331,2017,3,3,48.42,62
22.78331,89.53331,2017,3,4,52,63
22.78331,89.53331,2017,3,5,58.99,64
22.78331,89.53331,2017,3,6,67.09,65
22.78331,89.53331,2017,3,7,57.13,66
22.78331,89.53331,2017,3,8,60.46,67
22.78331,89.53331,2017,3,9,70.75,68
22.78331,89.53331,2017,3,10,68.87,69
22.78331,89.53331,2017,3,11,87.89,70
22.78331,89.53331,2017,3,12,72.26,71
22.78331,89.53331,2017,3,13,56.69,72
22.78331,89.53331,2017,3,14,47.81,73
22.78331,89.53331,2017,3,15,43.43,74
22.78331,89.53331,2017,3,16,42.93,75
22.78331,89.53331,2017,3,17,56.29,76
22.78331,89.53331,2017,3,18,74.8,77
22.78331,89.53331,2017,3,19,65.52,78
22.78331,89.53331,2017,3,20,76.13,79
22.78331,89.53331,2017,3,21,64.77,80
22.78331,89.53331,2017,3,22,69.85,81
22.78331,89.53331,2017,3,23,72.6,82
22.78331,89.53331,2017,3,24,72.67,83
22.78331,89.53331,2017,3,25,74.22,84
22.78331,89.53331,2017,3,26,73.45,85
22.78331,89.53331,2017,3,27,72.52,86
22.78331,89.53331,2017,3,28,73.7,87
22.78331,89.53331,2017,3,29,74.62,88
22.78331,89.53331,2017,3,30,73.09,89
22.78331,89.53331,2017,3,31,72.94,90
22.78331,89.53331,2017,4,1,72.62,91
22.78331,89.53331,2017,4,2,71.88,92
22.78331,89.53331,2017,4,3,73.14,93
22.78331,89.53331,2017,4,4,73.07,94
22.78331,89.53331,2017,4,5,76.56,95
22.78331,89.53331,2017,4,6,78.36,96
22.78331,89.53331,2017,4,7,74.86,97
22.78331,89.53331,2017,4,8,72.3,98
22.78331,89.53331,2017,4,9,66.93,99
22.78331,89.53331,2017,4,10,65.24,100
22.78331,89.53331,2017,4,11,56.8,101
22.78331,89.53331,2017,4,12,55.65,102
22.78331,89.53331,2017,4,13,55.41,103
22.78331,89.53331,2017,4,14,57.66,104
22.78331,89.53331,2017,4,15,66.77,105
22.78331,89.53331,2017,4,16,65.89,106
22.78331,89.53331,2017,4,17,56.88,107
22.78331,89.53331,2017,4,18,64.01,108
22.78331,89.53331,2017,4,19,76.64,109
22.78331,89.53331,2017,4,20,79.77,110
22.78331,89.53331,2017,4,21,82.82,111
22.78331,89.53331,2017,4,22,85.14,112
22.78331,89.53331,2017,4,23,83.74,113
22.78331,89.53331,2017,4,24,84.31,114
22.78331,89.53331,2017,4,25,83.47,115
22.78331,89.53331,2017,4,26,83.72,116
22.78331,89.53331,2017,4,27,83.09,117
22.78331,89.53331,2017,4,28,83.13,118
22.78331,89.53331,2017,4,29,79.69,119
22.78331,89.53331,2017,4,30,83.14,120
22.78331,89.53331,2017,5,1,88.4,121
22.78331,89.53331,2017,5,2,77.82,122
22.78331,89.53331,2017,5,3,76.95,123
22.78331,89.53331,2017,5,4,75.38,124
22.78331,89.53331,2017,5,5,75.93,125
22.78331,89.53331,2017,5,6,79.07,126
22.78331,89.53331,2017,5,7,80.91,127
