YEAR,DOY,WS2M,RH2M,SRAD,air_min,air_max,SRAD_kj
2018,1,1.12,82.35,8.16,13.36,24.55,340
2018,2,1.53,82.72,12.97,14.29,22.48,540.4166667
2018,3,1.86,74.22,14.67,10.89,23.48,611.25
2018,4,1.6,72.94,14.41,8.99,20.86,600.4166667
2018,5,1.69,76.01,14.62,7.39,20.99,609.1666667
2018,6,1.65,69.32,14.97,7.48,21.95,623.75
2018,7,1.65,64.52,15.21,7.68,21.21,633.75
2018,8,1.47,64.99,14.81,7.97,20.32,617.0833333
2018,9,1.52,68.34,15.4,6.56,20.07,641.6666667
2018,10,1.47,67.59,15.48,6.07,20.61,645
2018,11,1.33,70.98,14.89,7.67,19.77,620.4166667
2018,12,1.11,72.87,14.9,8.46,21.15,620.8333333
2018,13,0.97,74.52,13.08,9.19,21,545
2018,14,1.45,82.8,14.25,9.52,21.49,593.75
2018,15,1.46,70.67,14.49,8.7,22.31,603.75
2018,16,1.54,68.81,15.36,9.44,22.84,640
2018,17,1.53,69.5,15.53,9.84,23.3,647.0833333
2018,18,1.46,68.4,15.67,9.08,24.07,652.9166667
2018,19,1.38,64.27,16,8.59,23.61,666.6666667
2018,20,1.25,60.74,15.7,9.69,23.61,654.1666667
2018,21,1.28,64.9,16.15,11.36,24,672.9166667
2018,22,1.37,62.05,16.33,9.32,23.78,680.4166667
2018,23,1.2,59.39,16.36,9.41,24.28,681.6666667
2018,24,0.76,59.9,15.95,12.8,24.95,664.5833333
2018,25,1.44,70.32,15.84,12.43,25.42,660
2018,26,1.47,64.35,16.51,10.68,24.95,687.9166667
2018,27,1.51,62.26,16.02,10.77,23.75,667.5
2018,28,1.42,57.44,16.98,10.36,23.38,707.5
2018,29,1.34,56.77,17,11.21,23.8,708.3333333
2018,30,1.23,56.15,16.9,10.94,24.6,704.1666667
2018,31,0.82,58.81,16.51,12.32,25.65,687.9166667
2018,32,1.23,66.99,16.54,12.37,25.65,689.1666667
2018,33,0.76,62.59,16.52,14.36,25.94,688.3333333
2018,34,0.76,62.82,16.77,14.58,26.8,698.75
2018,35,1.3,67.56,16.68,13.7,28.68,695
