YEAR,MO,HR,T2M,SRAD,WS2M,RH2M,DAY,0
2017,1,0,17.01,0.0,0.94,78.19,1,(18.910141044367936+0j)
2017,1,1,16.39,0.0,1.0,81.25,1,(34.417339640196914-0.0021784726328404652j)
2017,1,2,15.92,0.0,1.03,84.19,1,(34.70679004335968+0.0011727260622722037j)
2017,1,3,15.5,0.0,1.03,87.25,1,(34.88081819525506-0.0011226221267716114j)
2017,1,4,15.13,0.0,1.01,90.06,1,(34.56185674807003+0.00109475468732488j)
2017,1,5,14.83,0.0,0.99,92.69,1,(34.28782938713064-0.0010920783058566642j)
2017,1,6,14.6,0.0,0.98,94.88,1,(34.23206007293696+0.0010966141679745348j)
2017,1,7,15.98,77.42,0.9,91.69,1,(34.450789293044224-0.0010271029066062595j)
2017,1,8,18.11,224.65,1.36,82.19,1,(48.62388706943824+0.001412043910579193j)
2017,1,9,20.82,379.41,0.96,73.19,1,(41.473671301785295-0.0005102813679715334j)
2017,1,10,24.19,568.79,1.21,57.06,1,(49.594898594411156+0.0008951216200224688j)
2017,1,11,25.34,599.42,1.57,52.5,1,(57.72938287165937-0.0006821236735027753j)
2017,1,12,25.82,639.21,1.93,50.44,1,(65.39236777311613+0.0003568907317549419j)
2017,1,13,26.08,558.83,2.19,49.19,1,(68.90902832082487+3.5824073884934013e-06j)
2017,1,14,25.96,447.14,2.32,48.94,1,(69.28992131436907+0.0001833111945169559j)
2017,1,15,25.19,274.95,2.05,52.69,1,(62.53735440833651+0.0001692690245155247j)
2017,1,16,22.96,109.41,1.11,69.62,1,(43.40226792969881-6.753543548264273e-05j)
2017,1,17,20.26,8.66,1.08,73.69,1,(39.04001359952558+0.0007183157316747221j)
2017,1,18,19.61,0.0,1.12,72.25,1,(38.58034490536923-0.0009626152417863119j)
2017,1,19,19.35,0.0,1.08,70.56,1,(36.68070632271056+0.0009655049467065383j)
2017,1,20,19.12,0.0,1.0,69.12,1,(34.07177753635171-0.000994395675819587j)
2017,1,21,18.67,0.0,0.96,69.56,1,(32.76001906040453+0.0010859450033050722j)
2017,1,22,18.01,0.0,1.0,71.56,1,(33.46910521157381-0.0011927840154855236j)
2017,1,23,17.32,0.0,1.04,73.94,1,(34.13542192690599+0.0011964903029439205j)
2017,1,0,16.6,0.0,1.08,76.62,2,(34.79932562588838-0.0011972235891004668j)
2017,1,1,15.8,0.0,1.13,80.25,2,(35.78330298857022+0.0012048937448805664j)
2017,1,2,15.01,0.0,1.15,84.25,2,(36.13301819510523-0.00116871393122939j)
2017,1,3,14.38,0.0,1.14,87.88,2,(35.92003240987175+0.0011406796668399018j)
2017,1,4,13.87,0.0,1.12,91.19,2,(35.55774277737483-0.001134681735996828j)
2017,1,5,13.47,0.0,1.1,94.31,2,(35.27968188135087+0.001136979852139554j)
2017,1,6,13.15,0.0,1.09,97.12,2,(35.242327599167545-0.0011432170755834611j)
2017,1,7,14.95,70.84,1.01,91.5,2,(35.605313778171954+0.00107762769005314j)
2017,1,8,17.58,224.12,1.66,79.81,2,(53.55542922661961-0.0015738987564263044j)
2017,1,9,20.37,386.17,1.12,71.88,2,(44.35495245330704+0.0004030656882383092j)
2017,1,10,24.29,536.59,1.47,53.44,2,(53.462951749883814-0.0008843409466282901j)
2017,1,11,25.56,625.41,1.83,48.19,2,(61.13520278793673+0.0005628973608123045j)
2017,1,12,26.15,630.42,2.08,45.88,2,(65.3485426977701-0.0002018840507826422j)
2017,1,13,26.44,573.92,2.23,44.5,2,(66.7486157015461-1.1886732496866544e-05j)
2017,1,14,26.33,449.18,2.22,44.31,2,(64.34839475234828-8.608239707671897e-05j)
2017,1,15,25.61,280.39,1.89,47.75,2,(56.8363315418003+2.3027278667011367e-05j)
2017,1,16,23.34,111.81,1.03,65.75,2,(40.568089595276334-0.0002192539090411053j)
2017,1,17,20.57,9.16,1.08,69.06,2,(38.0209406336691+0.0008468629029679113j)
2017,1,18,19.58,0.0,1.14,69.75,2,(38.19769521216611-0.00103152629126953j)
2017,1,19,18.8,0.0,1.14,71.44,2,(37.59531097917906+0.0010297617561604478j)
2017,1,20,18.12,0.0,1.14,73.06,2,(37.138673554248214-0.0010599118437823497j)
2017,1,21,17.61,0.0,1.12,73.94,2,(36.232162322506625+0.001069053763932955j)
2017,1,22,17.08,0.0,1.11,75.38,2,(35.715166735228095-0.0011077713712445776j)
2017,1,23,16.25,0.0,1.14,78.88,2,(36.2352317798511+0.0011604990989048844j)
2017,1,0,15.33,0.0,1.16,83.31,3,(36.553755822700275-0.0011508927150841125j)
2017,1,1,14.65,0.0,1.16,86.69,3,(36.43990506654776+0.0011336334519750227j)
2017,1,2,14.18,0.0,1.14,89.5,3,(36.02338482015472-0.0011232455648822253j)
2017,1,3,13.8,0.0,1.11,92.12,3,(35.45036070619312+0.0011205633948128315j)
2017,1,4,13.48,0.0,1.08,94.81,3,(34.957339242171244-0.0011254120633834258j)
2017,1,5,13.19,0.0,1.06,97.5,3,(34.70600711192529+0.0011340628644494755j)
2017,1,6,12.98,0.0,1.05,99.62,3,(34.64724293089732-0.0011386881828301205j)
2017,1,7,15.04,72.98,1.31,91.12,3,(42.75829423948227+0.0013629883837426421j)
2017,1,8,17.5,228.34,2.0,80.31,3,(60.659548928778094-0.0012982357013733349j)
2017,1,9,20.61,389.09,1.75,70.5,3,(58.69760850596186+0.0002356844925617468j)
2017,1,10,24.47,518.59,2.22,55.06,3,(70.17396919946275-0.0003176250442364447j)
2017,1,11,25.77,607.84,2.54,50.94,3,(77.13075202191791-0.00022983248718177899j)
2017,1,12,26.26,626.67,2.74,49.19,3,(80.52988582855535-0.000531966183182927j)
2017,1,13,26.53,596.55,2.86,47.81,3,(81.53210815194029-0.0006387790894965381j)
2017,1,14,26.27,471.37,2.83,48.44,3,(79.0645337043706-0.0006540391256773507j)
2017,1,15,25.42,298.25,2.36,53.25,3,(69.71327899413303-0.0004995607158589263j)
2017,1,16,23.11,122.54,1.29,69.19,3,(48.12949978021661-0.00011408558406351422j)
2017,1,17,20.26,9.83,1.15,76.88,3,(41.80219886811165+0.0005590045775307477j)
2017,1,18,19.29,0.0,1.16,78.62,3,(41.13470337953298-0.0008520832119684751j)
2017,1,19,18.61,0.0,1.16,80.19,3,(40.553108109230664+0.000894476236638338j)
2017,1,20,17.96,0.0,1.17,81.81,3,(40.27444212335756-0.0009299292599750849j)
2017,1,21,17.44,0.0,1.14,82.94,3,(39.05831595332279+0.000925264408851166j)
2017,1,22,17.02,0.0,1.1,83.44,3,(37.62153279330963-0.0009556550585605474j)
